keyword,domain,google_position,ai_visibility_score,ai_overview_detected,perplexity_mention
online reputation management,serp.fyi,4,82,true,true
press release distribution,serp.fyi,7,74,false,true
crypto press release,serp.fyi,12,61,true,false
brand authority building,serp.fyi,3,88,true,true
remove bad results,serp.fyi,5,79,true,false
serp checker tool,serp.fyi,2,91,true,true
ai overview optimization,serp.fyi,6,77,true,false
local seo audit,serp.fyi,8,69,false,true
google ai overviews,serp.fyi,3,85,true,true
perplexity visibility,serp.fyi,9,72,true,true
deindex bad links,serp.fyi,5,80,true,false
orm strategy 2026,serp.fyi,4,83,true,true
bing serp ranking,serp.fyi,11,58,false,false
chatgpt brand mention,serp.fyi,7,76,true,true
press release seo,serp.fyi,6,74,false,true
reputation repair service,serp.fyi,3,87,true,true
geo optimization tool,serp.fyi,5,81,true,false
aivo audit tool,serp.fyi,4,84,true,true
serp visibility score,serp.fyi,2,93,true,true
brand serp tracking,serp.fyi,3,88,true,true
